,pi_q,pi_e,hiato,de,pi_star_usd,pi_agr_usd,pi_met_usd,de_fim,pi_star_usd_fim,ipca_12m,rr_2a,rr_10a,g_rr,g_rr_fim,selic,selic_fim,pi_e_2a,pi_bcb,pi_is_q,pi_ia_q,pi_ii_q,pi_im_q,wq_is,wq_ia,wq_ii,wq_im,meta_12m,meta_24m,completo
2014Q2,1.537614327999992,5.965737704918033,2.19,-5.906215074997901,2.872087625687847,3.5481638336681165,1.2188950575854562,-2.709828782320267,-1.2158425776886972,6.52,5.4633133853333335,6.252673976333333,-0.7893605909999994,-0.9360369899999998,10.994505494505495,11.0,5.812636303452608,6.0,1.8394003879999676,1.3246146080000187,1.1641736690000126,1.6179543574999844,0.3556,0.163898,0.252932,0.22757,4.5,4.5,True
2014Q3,0.8315071424999987,6.136212121212122,1.89,1.9965620350032909,-4.710586497809555,-5.9957127321284,2.378451354238287,10.690302571777789,-5.078453367140323,6.75,5.045148310769231,5.845359399384615,-0.8002110886153844,-0.7755155499999997,11.0,11.0,5.774044137473299,5.9,1.323914698999995,-0.36537735639999847,0.5007193189999759,1.3055969560000102,0.3589847691370778,0.16003055972496247,0.25235172883444046,0.22863294230351924,4.5,4.5,True
2014Q4,1.7194127076000099,6.486307692307692,1.55,11.186574227807,-2.656440222628209,0.21817934544285933,-7.7630376818632385,8.040042543803782,-3.6413313570101913,6.41,5.385368706612903,5.9555297738709685,-0.5701610672580655,-0.3314641199999997,11.32336956521739,11.75,5.715507186858314,5.2,2.1026817359999894,2.4286206975999924,0.9023383448000022,1.5374777648000215,0.3596140788422365,0.16116848350545052,0.2505657516972551,0.22865168595505786,4.5,4.5,True
2015Q1,3.827799689600009,6.5401639344262295,0.95,12.075191905233496,-9.737091904718564,-7.630602510979667,-7.443523136080721,18.87511600202547,-9.861647076749414,8.13,5.668716293442623,6.173564389016393,-0.5048480955737702,-0.20236799999999988,12.283333333333333,12.75,5.549990799026043,5.0,2.5507806127999855,3.6920426492000225,1.5677630155999989,8.454872800000013,0.3591592816814366,0.1615216769566461,0.24612350775298453,0.23319553360893278,4.5,4.5,True
2015Q2,2.2567505066000138,5.9973770491803275,0.17,6.822410419758396,-1.9445578847092193,-2.3777433447185636,-3.4082924018332683,-3.3407220356174383,0.4664064423629988,8.89,6.487759216229508,6.137301679836066,0.3504575363934421,0.4145779100000002,13.239010989010989,13.75,5.307263383489863,5.1,1.7288185340000206,3.3137863189999894,1.4671104954000036,3.15202257920002,0.354706,0.16307,0.24303,0.239194,4.5,4.5,True
2015Q3,1.3859073656000032,5.7601538461538455,-0.93,14.0941531589452,-3.597221686114249,-1.6505127633659633,-10.001398688898977,24.725583697079756,-5.690022272545292,9.49,6.840291172539683,6.943878042063492,-0.10358686952380936,-0.24603076999999995,14.092391304347826,14.25,4.995568999104938,5.1,1.53750157760002,0.21797794400002513,0.8824912382000116,2.42748644480002,0.3548658389267114,0.1620372962983704,0.24151193209545677,0.24158493267946146,4.5,4.5,True
2015Q4,2.815929507199999,6.7319047619047625,-1.69,8.298034685690435,-3.0244395462328377,-1.6059378676951397,-5.103007711897867,-1.7289741028090555,-2.3603521850178666,10.67,6.558566581333333,7.275457361833333,-0.7168907805,-0.5857774999999998,14.25,14.25,5.222230913812022,5.5,2.063355664400013,5.178599868800005,2.165395458500008,3.0383753003000002,0.35264458942164234,0.16317034731861074,0.240187039251843,0.24399802400790396,4.5,4.5,True
2016Q1,2.6208101489999747,6.742622950819673,-2.29,1.500636646265363,-2.4999723775607663,-2.1256682236071356,1.591430099545299,-9.275505723777044,0.10461744261043293,9.39,6.079859474,7.061052510500001,-0.9811930365000006,0.005072039999999944,14.25,14.25,5.744887175862031,5.7,1.971179883999996,5.884724571199995,2.215860232400013,1.7790964300000045,0.3511488396604431,0.16796948827460556,0.23801185789327897,0.24286981417167247,4.5,4.5,True
2016Q2,1.7496396530000125,6.104444444444444,-2.84,-10.660118082213188,3.6190689491930605,1.4652276786869756,7.552325101605906,-10.324287844811142,5.780248183778092,8.84,6.196653090476191,6.138239284126985,0.05841380634920679,0.3982332100000008,14.25,14.25,5.43787631867714,5.5,1.2852880817999957,2.74425941780001,1.163698550000003,2.3446991839999987,0.34898444289110025,0.17093619655337586,0.23747566232963627,0.24260369822588754,4.5,4.5,True
2016Q3,1.043057830399996,5.43676923076923,-3.04,-7.7502522213960034,2.553511536180597,-0.27782665853699484,9.303831802223161,1.1276451583914326,-0.26951772670873453,8.48,6.26700049578125,5.9328710184375,0.3341294773437502,0.18496690000000005,14.25,14.25,4.780880113726107,4.9,1.5375678667999937,1.5036022000000093,0.49011972999997155,0.5303310379999981,0.3497431476883292,0.173518561667055,0.23634112707014363,0.2403971635744722,4.5,4.5,True
