,pi_L,pi_IPCA,pi_A,pi_e,i_e,meta,pi_star,de_hat,Zel,Yla,selic,i_dif,de,r_focus,rr_trend,hp_ciclo,rp_hat,fpib,fnuci,femp,fcaged
2011Q2,1.403890869750768,1.4469693352387791,1.5604771380691718,5.208548387096775,12.309041310635669,4.5,-7.124510952791664,-4.981596503213256,-49.61333333333332,71.04666666666665,12.083333333333334,10.913772307692309,-4.356596503213256,7.100492923538894,5.385688507358383,1.7148044161805114,0.5168682583009638,1.687690067941901,3.252831966395931,2.1125099105494964,0.8131051294424196
2011Q3,1.844017968197842,1.6828160996817498,1.2582318722262231,5.485846153846154,12.052404675406729,4.5,-2.553650236889433,1.8154522964702746,0.0,-97.04666666666665,12.333333333333334,10.81679090909091,2.4404522964702746,6.566558521560575,5.256301919679076,1.3102566018814992,0.5416199684290233,0.7331902985074521,2.6419231323648376,2.015276174218477,1.4852294266199806
2011Q4,1.3694633588477334,1.2213816197847116,1.0623193818781074,5.5485483870967744,10.13439872943954,4.5,0.1337981416358432,9.01292664764846,0.0,-133.51000000000002,11.333333333333334,9.643929230769231,9.63792664764846,4.585850342342766,5.136957066909692,-0.5511067245669254,0.3809544060377599,0.989173217114228,2.328690897038655,2.154684585578254,1.26069050793717
2012Q1,0.720347905550045,0.7472314907797761,0.6612505084047093,5.332380952380952,9.49133785296003,4.5,-2.8591120884886423,-2.36249428030745,0.0,-76.03666666666666,10.25,8.758097435897437,-1.73749428030745,4.158956900579077,5.031408227839224,-0.8724513272601468,1.2213848845350128,-1.063861771650977,2.7362053689583945,1.8635390368033402,0.6077823071586863
2012Q2,1.3032853661709254,1.1621947131760457,0.6602395624351498,5.4964516129032255,8.751737320880528,4.5,0.07048076207858445,9.770639986762395,0.0,-7.846666666666678,8.666666666666666,7.095084102564102,10.395639986762395,3.2552857079773023,4.943065239553807,-1.6877795315765045,0.5438811752848121,0.18271471370826475,2.7813030983251963,1.8791010936704966,1.3195631077837788
2012Q3,2.4160474146315947,2.0761998214032573,1.0491036408541987,5.58796875,8.009716696611909,4.5,8.089200159775594,2.617283121139855,5.603333333333333,-41.15333333333333,7.666666666666667,6.229285641025641,3.242283121139855,2.4217479466119087,4.8747926570600395,-2.4530447104481308,-0.022687881042702474,1.4298056426719086,2.880460618648897,1.9462130513253042,1.8469088298081715
2012Q4,1.9374476888474268,1.727801795650108,1.2810249400083684,5.429677419354839,7.454020666357556,4.5,0.8522658626108917,0.7825347620226886,6.166666666666667,-55.76,7.25,6.015137878787879,1.4075347620226886,2.024343247002717,4.828400173157287,-2.80405692615457,0.500501417685585,1.043102829882855,3.038817711799794,1.8058468474472713,1.529077512534741
2013Q1,2.3100662460089127,1.4497110089566556,-1.3263105142775178,5.5115,7.602290098106323,4.5,-4.696711874199513,-3.5796032693002933,6.166666666666667,-43.669999999999995,7.25,5.894563541666667,-2.9546032693002933,2.090790098106323,4.804164327700886,-2.713374229594563,0.25203486559135224,1.2406906169468357,3.103565563124363,1.6325299194786185,0.7527768647610174
2013Q2,1.3933679813713074,1.2654795815064457,0.7148031187462767,5.58873015873016,8.534807209673739,4.5,-2.8331186599596627,2.8018847082765674,-5.039999999999999,-6.559999999999999,7.833333333333333,6.338632820512821,3.4268847082765674,2.946077050943579,4.800609124967325,-1.854532074023746,0.029105144277277617,2.3601961744772098,3.347396010217068,1.864607977792157,1.6215164913330682
2013Q3,1.536795204056185,1.2900225245354058,0.49054550563314425,5.973939393939394,9.467594424740215,4.5,6.287173387126914,9.51930344470999,-6.166666666666667,6.883333333333335,8.833333333333334,6.90894090909091,10.14430344470999,3.493655030800821,4.8145627103395965,-1.3209076795387755,-0.1948228871590877,2.636695846459588,3.2621804230315945,2.074866994676941,2.196467294608965
2013Q4,1.8717314172781663,1.7905486469798948,1.7273833850852682,6.14421875,10.244001240097383,4.5,-0.9339347895952529,-1.2632807875334295,-6.166666666666667,2.5733333333333337,9.833333333333334,7.956419696969698,-0.6382807875334295,4.0997824900973825,4.841694146654428,-0.7419116565570452,0.21285020988428377,2.6874447541192694,3.0562384669293294,2.1935570045632824,2.4301889529876917
2014Q1,2.028176845133811,1.6740135395648892,0.46980747536939926,6.060491803278689,11.110884303362841,4.5,6.4657856158965465,3.3316873363464206,-0.5633333333333334,1.1266666666666678,10.666666666666666,8.752213020833333,3.9566873363464206,5.050392500084152,4.876846929448833,0.17354557063531928,-0.024301438270665193,3.4874487370834686,3.4307225699681965,2.47929719870445,2.09224939036676
2014Q2,1.7143819586284081,1.622445282319429,1.1660174525027323,5.965737704918033,11.488805780904615,4.5,-4.047913101748443,-6.531215074997901,3.2033333333333336,-4.1000000000000005,11.0,9.461122051282052,-5.906215074997901,5.523068075986582,4.91440085947448,0.6086672165121021,0.37205130664852426,2.01079189722077,3.0512750383422826,2.497483603937437,2.7462389999056995
2014Q3,1.3784700533731042,1.4818101814206175,1.8572961796082366,6.136212121212122,11.484586314894322,4.5,-4.003603043747051,1.3715620350032909,3.6066666666666674,-1.9633333333333334,11.0,9.482968181818181,1.9965620350032909,5.348374193682201,4.948844203464682,0.3995299902175189,0.056466872172644844,2.031899640282859,2.1664134905890933,2.3231474148956,3.2564560030054963
2014Q4,1.4550090690168993,1.484224244337784,1.7335795097161544,6.486307692307692,11.993806055686802,4.5,7.465585662099809,10.561574227807,20.41,-6.359999999999997,11.416666666666666,9.598589393939394,11.186574227807,5.50749836337911,4.975045645163073,0.532452718216037,-0.850501067443675,2.681729382714366,-0.2594340656831662,2.1169373409451273,3.175866338655851
2015Q1,1.9104775264524365,3.3312393185121802,8.195177035837542,6.5401639344262295,12.581842326724344,4.5,-0.020463149566781524,11.450191905233496,26.406666666666663,-3.7466666666666626,12.416666666666666,9.907974479166667,12.075191905233496,6.041678392298114,4.988123574557173,1.0535548177409408,-0.6249290732616412,2.0676063987201587,-2.1853053563058324,1.8587231613031454,2.2485908764504074
2015Q2,2.1647797588322693,2.356160489276582,2.6292301870395107,5.9973770491803275,12.978699296462118,4.5,4.647407408076149,6.197410419758396,60.27999999999999,-3.413333333333329,13.416666666666666,10.923939487179487,6.822410419758396,6.98132224728179,4.9835291645833895,1.9977930826984007,0.04997650565721723,-0.1231143773114809,-4.617439516601806,1.297003369331149,2.012824049373876
2015Q3,1.690782751583697,1.9711108901618202,2.8987218265039916,5.7601538461538455,12.937375138208823,4.5,9.637765828306275,13.4691531589452,148.27666666666664,0.0,14.25,10.79849696969697,14.0941531589452,7.177221292054978,4.957372059939214,2.219849232115764,0.8869853142015514,-1.565903235490964,-6.062759699384969,0.3855615507068286,1.4106646487452963
2015Q4,2.4550032101871455,2.6167090212566357,3.317625235225785,6.7319047619047625,13.824643508608593,4.5,3.3636059249778727,7.6730346856904355,358.9933333333334,0.0,14.25,9.81705,8.298034685690435,7.092738746703831,4.907010525998827,2.1857282207050037,-0.3233062676432721,-2.108265805314886,-5.918813700672729,-0.3643081663949719,0.31414135489148975
2016Q1,2.3519002438119774,2.1426714840575345,1.5924285078083633,6.742622950819673,14.253478304776648,4.5,-3.143913202697008,0.8756366462653631,463.3166666666667,0.0,14.25,9.490096923076923,1.500636646265363,7.510855353956975,4.831190233906482,2.679665120050493,-0.14513825834970984,-3.3260211859266064,-7.2012814343390374,-0.9330238313224193,-1.0364691844165463
2016Q2,1.8015511004142892,1.897729972175921,1.8304465326961505,6.104444444444444,12.547286159729692,4.5,-6.552726555659631,-11.285118082213188,244.91666666666677,0.0,14.25,10.50952358974359,-10.660118082213188,6.442841715285248,4.730022934944369,1.7128187803408794,-0.2668648735894119,-2.8415384910899775,-7.238715413768674,-1.7985722760879579,-1.3467745082082274
2016Q3,1.7950820825047398,1.5373976251063848,0.8312741826673298,5.43676923076923,11.969687569104396,4.5,-5.056916750174655,-8.375252221396003,-207.3200000000001,8.333333333333329,14.25,11.151810606060607,-7.7502522213960034,6.532918338335166,4.605295171094709,1.9276231672404567,-0.6885944623407265,-3.1986708289337002,-7.031377115142007,-2.6770698499701453,-1.5383637850877676
2016Q4,0.4196701217584087,0.5511126865582083,1.0792342168807645,4.929032258064517,11.036177086901125,4.5,4.323857228536094,0.8804123640601214,-519.2,20.33333333333333,13.916666666666666,10.670574358974358,1.5054123640601214,6.107144828836608,4.459863996077436,1.6472808327591721,0.05697676191923606,-3.1363578254316167,-7.47936388474443,-3.294810474230621,-2.144456133357153
